,Vector1,,,Vector2,,,Vector3,,,Vector4,,,Vector5,,,Vector6,,,Vector7,,,,,,,,,,,,
5,-3.95E-06,-5.11E-06,-7.99E-09,-3.83E-06,-5.12E-06,2.34E-09,-5.62E-06,-5.09E-06,1.43E-08,-5.21E-06,3.83E-06,-8.43E-09,-5.16E-06,3.84E-06,4.25E-09,0,0,0,0,0,0,,,,,,,,,,
10,-2.06E-06,-1.67E-06,-6.22E-09,-2.08E-06,-1.68E-06,2.78E-09,-8.48E-07,-1.66E-06,1.19E-08,-1.69E-06,2.07E-06,-5.96E-09,-1.71E-06,2.06E-06,3.66E-09,3.14E-04,2.35E-04,4.51E-05,3.15E-04,2.35E-04,4.51E-05,,,,,,,,,,
15,-1.03E-06,-5.47E-07,-4.55E-09,-1.06E-06,-5.48E-07,2.81E-09,1.76E-07,-5.43E-07,9.93E-09,-5.49E-07,1.05E-06,-4.56E-09,-5.73E-07,1.05E-06,3.60E-09,2.00E-04,2.33E-04,2.49E-06,2.00E-04,2.33E-04,2.49E-06,,,,,,,,,,
20,-6.83E-07,-1.78E-07,-3.07E-09,-7.18E-07,-1.80E-07,2.69E-09,5.04E-07,-1.76E-07,8.25E-09,-1.75E-07,7.10E-07,-3.38E-09,-1.99E-07,7.06E-07,3.24E-09,6.03E-05,6.44E-05,-8.27E-08,6.34E-05,6.41E-05,-1.04E-07,,,,,,,,,,
25,-5.68E-07,-5.82E-08,-1.79E-09,-6.04E-07,-5.93E-08,2.53E-09,6.08E-07,-5.68E-08,6.80E-09,-5.29E-08,5.96E-07,-2.36E-09,-7.66E-08,5.92E-07,2.70E-09,5.07E-05,5.09E-05,2.53E-08,4.54E-05,5.15E-05,5.60E-08,,,,,,,,,,
30,6.72E-07,-1.58E-08,-7.10E-10,7.30E-07,-1.68E-08,2.44E-09,-9.19E-07,-1.47E-08,5.55E-09,-3.26E-08,-7.20E-07,-2.45E-09,2.80E-09,-7.16E-07,3.52E-09,-1.67E-04,-1.83E-04,-9.39E-09,-1.64E-04,-1.83E-04,-2.40E-08,,,,,,,,,,
35,6.93E-07,-3.02E-09,1.82E-10,7.52E-07,-3.97E-09,2.30E-09,-9.19E-07,-2.12E-09,4.46E-09,-1.95E-08,-7.41E-07,-1.66E-09,1.64E-08,-7.37E-07,2.89E-09,-5.48E-05,-5.98E-05,-1.07E-08,-5.39E-05,-5.99E-05,-6.65E-09,,,,,,,,,,
40,7.11E-07,1.12E-09,9.09E-10,7.72E-07,1.86E-10,2.19E-09,-9.34E-07,1.89E-09,3.51E-09,-1.53E-08,-7.61E-07,-9.63E-10,2.17E-08,-7.57E-07,2.27E-09,-1.82E-05,-1.96E-05,-9.93E-09,-1.80E-05,-1.96E-05,-2.04E-10,,,,,,,,,,
45,-5.45E-07,-6.60E-10,1.49E-09,-5.88E-07,-1.62E-09,2.02E-09,7.05E-07,2.15E-11,2.66E-09,7.23E-09,5.79E-07,3.03E-10,-1.97E-08,5.74E-07,7.12E-10,-6.30E-06,-6.39E-06,-8.35E-09,-6.26E-06,-6.41E-06,2.06E-09,,,,,,,,,,
50,-5.31E-07,-2.64E-10,1.95E-09,-5.73E-07,-1.19E-09,1.93E-09,6.88E-07,3.33E-10,1.94E-09,7.58E-09,5.64E-07,8.21E-10,-1.86E-08,5.60E-07,1.97E-10,-1.22E-06,-2.09E-06,-6.57E-09,-1.13E-06,-2.09E-06,2.80E-09,,,,,,,,,,
55,-5.21E-07,-1.85E-10,2.31E-09,-5.62E-07,-1.07E-09,1.84E-09,6.75E-07,3.42E-10,1.32E-09,7.64E-09,5.53E-07,1.27E-09,-1.78E-08,5.49E-07,-2.64E-10,6.83E-08,-6.80E-07,-4.87E-09,1.37E-07,-6.82E-07,2.89E-09,,,,,,,,,,
60,-5.15E-07,-3.25E-10,2.57E-09,-5.54E-07,-1.17E-09,1.77E-09,6.66E-07,1.42E-10,7.91E-10,7.47E-09,5.45E-07,1.65E-09,-1.69E-08,5.41E-07,-6.67E-10,5.02E-07,-2.20E-07,-3.34E-09,5.66E-07,-2.21E-07,2.78E-09,,,,,,,,,,
65,6.98E-07,2.77E-09,2.77E-09,7.54E-07,2.02E-09,1.76E-09,-9.09E-07,3.16E-09,3.50E-10,-1.24E-08,-7.44E-07,9.77E-10,2.28E-08,-7.40E-07,4.36E-10,-6.11E-07,-7.28E-08,-2.03E-09,-6.51E-07,-7.39E-08,2.56E-09,,,,,,,,,,
70,7.05E-07,2.71E-09,2.90E-09,7.63E-07,2.01E-09,1.69E-09,-9.19E-07,3.07E-09,-3.95E-11,-1.25E-08,-7.52E-07,1.24E-09,2.33E-08,-7.48E-07,1.47E-10,-5.53E-07,-2.36E-08,-9.12E-10,-5.93E-07,-2.46E-08,2.40E-09,,,,,,,,,,
75,7.18E-07,2.66E-09,2.99E-09,7.77E-07,2.00E-09,1.62E-09,-9.36E-07,2.97E-09,-3.70E-10,-1.27E-08,-7.66E-07,1.46E-09,2.42E-08,-7.62E-07,-9.11E-11,-5.28E-07,-7.59E-09,1.47E-11,-5.67E-07,-8.61E-09,2.27E-09,,,,,,,,,,
80,-5.47E-07,-4.89E-10,3.03E-09,-5.91E-07,-1.17E-09,1.50E-09,7.11E-07,-1.85E-10,-6.65E-10,8.53E-09,5.82E-07,2.30E-09,-1.89E-08,5.78E-07,-1.28E-09,-5.18E-07,-2.53E-09,7.73E-10,-5.56E-07,-3.52E-09,2.14E-09,,,,,,,,,,
85,-5.33E-07,-5.13E-10,3.04E-09,-5.76E-07,-1.16E-09,1.44E-09,6.92E-07,-2.36E-10,-8.98E-10,8.35E-09,5.67E-07,2.43E-09,-1.83E-08,5.63E-07,-1.43E-09,6.93E-07,2.25E-09,1.39E-09,7.50E-07,1.34E-09,2.10E-09,,,,,,,,,,
90,-5.21E-07,-5.50E-10,3.02E-09,-5.63E-07,-1.16E-09,1.38E-09,6.77E-07,-2.97E-10,-1.09E-09,8.18E-09,5.54E-07,2.54E-09,-1.76E-08,5.50E-07,-1.56E-09,7.02E-07,2.74E-09,1.87E-09,7.60E-07,1.86E-09,2.01E-09,,,,,,,,,,
95,-5.14E-07,-7.08E-10,2.98E-09,-5.54E-07,-1.28E-09,1.33E-09,6.66E-07,-4.74E-10,-1.25E-09,7.89E-09,5.45E-07,2.63E-09,-1.67E-08,5.41E-07,-1.66E-09,7.16E-07,2.85E-09,2.25E-09,7.75E-07,2.02E-09,1.92E-09,,,,,,,,,,
100,7.02E-07,2.40E-09,2.93E-09,7.58E-07,1.92E-09,1.34E-09,-9.13E-07,2.60E-09,-1.36E-09,-1.21E-08,-7.47E-07,1.70E-09,2.31E-08,-7.43E-07,-2.95E-10,-5.45E-07,-2.43E-10,2.53E-09,-5.89E-07,-1.10E-09,1.78E-09,,,,,,,,,,
105,9.820582905,-0.001956954,9.67E-04,-0.179356022,-0.002170928,2.03E-05,-0.54994231,-0.002154283,-4.48E-05,-0.00225254,0.179315592,5.76E-05,-0.291927415,0.179276031,0.001848809,9.820583168,-0.001956948,9.67E-04,-0.17935576,-0.002170935,2.03E-05,,,,,,,,,,
110,10.08749574,-0.002011845,-0.005634302,0.087478949,0.005942061,-1.31E-04,-0.187722474,0.00593761,3.24E-04,0.005917952,-0.087492505,-9.93E-05,-0.849967582,-0.087253586,-0.006639751,10.08749567,-0.002011849,-0.005634319,0.087478881,0.005942075,-1.31E-04,,,,,,,,,,
115,-1.022714641,-0.003527894,-0.001549475,-0.302283224,0.003795223,1.94E-04,0.081764405,0.003762874,4.79E-04,0.003794711,0.302273792,1.87E-04,-0.017031502,0.297461674,0.05361422,-1.022715473,-0.003527893,-0.001549477,-0.302283949,0.003795221,1.94E-04,,,,,,,,,,
120,-0.113080693,-1.87E-04,3.99E-05,0.241327824,1.44E-04,-7.09E-05,0.104721447,1.34E-04,-9.99E-05,1.42E-04,-0.24128022,-1.26E-04,-0.40466111,-0.23700693,-0.045135736,-0.113081163,-1.87E-04,3.99E-05,0.241327979,1.44E-04,-7.09E-05,,,,,,,,,,
125,-0.110756843,-3.35E-05,1.73E-05,0.005298083,1.40E-05,2.39E-06,-0.008529841,1.29E-05,-2.31E-05,8.43E-06,-0.00530524,6.66E-06,0.001454211,-0.00513922,-0.001337617,-0.110756359,-3.35E-05,1.73E-05,0.005298764,1.40E-05,2.39E-06,,,,,,,,,,
130,-0.036358109,-5.80E-06,1.55E-05,0.0013216,-4.12E-06,-2.71E-06,-0.002501868,-5.66E-06,-1.07E-05,-5.80E-06,-0.001320715,-9.92E-06,2.86E-04,-0.001275366,-3.40E-04,-0.036357948,-5.80E-06,1.55E-05,0.001321828,-4.12E-06,-2.71E-06,,,,,,,,,,
135,-0.012009865,4.64E-06,1.34E-05,3.21E-04,-1.01E-05,-3.60E-06,-7.20E-04,-1.10E-05,-5.00E-06,-1.07E-05,-3.21E-04,-6.35E-06,-7.16E-05,-3.08E-04,-9.11E-05,-0.012009813,4.64E-06,1.34E-05,3.21E-04,-1.01E-05,-3.60E-06,,,,,,,,,,
140,-0.004044302,8.32E-06,1.25E-05,-5.54E-07,-1.23E-05,-3.86E-06,-1.44E-04,-1.29E-05,-3.18E-06,-1.25E-05,7.85E-07,-5.05E-06,-1.88E-04,3.06E-06,-1.08E-05,-0.004044285,8.32E-06,1.25E-05,-5.30E-07,-1.23E-05,-3.86E-06,,,,,,,,,,
145,-0.001430494,1.04E-05,1.18E-05,-1.03E-04,-1.36E-05,-3.80E-06,3.94E-05,-1.40E-05,-2.72E-06,-1.37E-05,1.03E-04,-3.92E-06,-2.23E-04,1.02E-04,1.39E-05,-0.001430489,1.04E-05,1.18E-05,-1.03E-04,-1.36E-05,-3.80E-06,,,,,,,,,,
150,-5.48E-04,1.45E-05,1.05E-05,-1.28E-04,-1.68E-05,-3.26E-06,8.07E-05,-1.67E-05,-3.01E-06,-1.69E-05,1.27E-04,-6.93E-07,-2.19E-04,1.25E-04,1.61E-05,-5.48E-04,1.45E-05,1.05E-05,-1.28E-04,-1.68E-05,-3.26E-06,,,,,,,,,,
155,-1.04E-04,1.61E-05,1.02E-05,-1.32E-04,-1.79E-05,-2.89E-06,8.83E-05,-1.76E-05,-2.96E-06,-1.81E-05,1.31E-04,6.86E-07,-2.14E-04,1.29E-04,1.58E-05,-1.04E-04,1.61E-05,1.02E-05,-1.32E-04,-1.79E-05,-2.89E-06,,,,,,,,,,
160,2.05E-05,1.54E-05,9.80E-06,-1.34E-04,-1.72E-05,-2.84E-06,9.29E-05,-1.70E-05,-2.70E-06,-1.74E-05,1.33E-04,1.50E-07,-2.16E-04,1.31E-04,1.78E-05,2.05E-05,1.54E-05,9.80E-06,-1.34E-04,-1.72E-05,-2.84E-06,,,,,,,,,,
165,4.13E-05,1.45E-05,9.61E-06,-1.37E-04,-1.65E-05,-2.89E-06,9.80E-05,-1.64E-05,-2.45E-06,-1.66E-05,1.36E-04,-7.34E-07,-2.20E-04,1.34E-04,2.03E-05,4.13E-05,1.45E-05,9.61E-06,-1.37E-04,-1.65E-05,-2.89E-06,,,,,,,,,,
170,3.22E-05,1.37E-05,9.46E-06,-1.39E-04,-1.59E-05,-2.95E-06,1.02E-04,-1.58E-05,-2.26E-06,-1.59E-05,1.39E-04,-1.50E-06,-2.22E-04,1.36E-04,2.23E-05,3.22E-05,1.37E-05,9.46E-06,-1.39E-04,-1.59E-05,-2.95E-06,,,,,,,,,,
175,1.58E-05,1.30E-05,9.33E-06,-1.40E-04,-1.53E-05,-2.99E-06,1.04E-04,-1.54E-05,-2.13E-06,-1.54E-05,1.40E-04,-2.08E-06,-2.25E-04,1.38E-04,2.38E-05,1.58E-05,1.30E-05,9.33E-06,-1.40E-04,-1.53E-05,-2.99E-06,,,,,,,,,,
180,-1.29E-06,1.25E-05,9.21E-06,-1.42E-04,-1.49E-05,-3.01E-06,1.06E-04,-1.50E-05,-2.04E-06,-1.49E-05,1.41E-04,-2.49E-06,-2.26E-04,1.39E-04,2.49E-05,-1.29E-06,1.25E-05,9.21E-06,-1.42E-04,-1.49E-05,-3.01E-06,,,,,,,,,,
185,-1.70E-05,1.22E-05,9.11E-06,-1.42E-04,-1.46E-05,-3.03E-06,1.07E-04,-1.47E-05,-1.99E-06,-1.46E-05,1.42E-04,-2.76E-06,-2.28E-04,1.40E-04,2.57E-05,-1.70E-05,1.22E-05,9.11E-06,-1.42E-04,-1.46E-05,-3.03E-06,,,,,,,,,,
190,-3.09E-05,1.19E-05,9.02E-06,-1.43E-04,-1.44E-05,-3.03E-06,1.08E-04,-1.45E-05,-1.96E-06,-1.44E-05,1.43E-04,-2.95E-06,-2.28E-04,1.40E-04,2.63E-05,-3.09E-05,1.19E-05,9.02E-06,-1.43E-04,-1.44E-05,-3.03E-06,,,,,,,,,,
195,-4.32E-05,1.17E-05,8.93E-06,-1.43E-04,-1.42E-05,-3.04E-06,1.09E-04,-1.44E-05,-1.94E-06,-1.42E-05,1.43E-04,-3.07E-06,-2.29E-04,1.41E-04,2.67E-05,-4.32E-05,1.17E-05,8.93E-06,-1.43E-04,-1.42E-05,-3.04E-06,,,,,,,,,,
200,-5.41E-05,1.16E-05,8.85E-06,-1.44E-04,-1.41E-05,-3.03E-06,1.10E-04,-1.43E-05,-1.93E-06,-1.41E-05,1.44E-04,-3.14E-06,-2.30E-04,1.41E-04,2.70E-05,-5.41E-05,1.16E-05,8.85E-06,-1.44E-04,-1.41E-05,-3.03E-06,,,,,,,,,,
205,-9.914005125,6.20E-05,9.62E-05,0.085920875,-1.09E-04,-2.06E-05,-0.0376783,-1.06E-04,-7.25E-06,-1.09E-04,-0.085932411,2.77E-05,-3.89E-05,-0.084024147,-0.018082064,-9.914005144,6.20E-05,9.62E-05,0.085920857,-1.09E-04,-2.06E-05,,,,,,,,,,
210,-9.350836805,7.68E-05,8.76E-05,0.649174196,-4.21E-05,-2.10E-05,-0.268047134,-3.90E-05,-3.06E-05,-3.46E-05,-0.649165627,-2.22E-05,-5.53E-04,-0.634622155,-0.136567927,-9.350836859,7.68E-05,8.76E-05,0.649174142,-4.21E-05,-2.10E-05,,,,,,,,,,
215,-1.896412058,-0.106399302,-0.063068627,0.926528109,-0.123740787,7.57E-05,0.18916653,-0.121490967,-0.023254171,-0.123786459,-0.926375629,6.98E-05,0.488516782,-0.902092803,-0.210537525,-1.896412033,-0.106399284,-0.063068619,0.926528146,-0.123740767,7.57E-05,,,,,,,,,,
220,-0.005536264,0.011208048,0.007972276,-0.321762512,0.013762787,-0.001125055,0.49241787,0.013931525,7.54E-04,0.013784019,0.321726502,-9.96E-04,-1.10193259,0.304593656,0.104162548,-0.005536281,0.01120805,0.007972277,-0.321762553,0.01376279,-0.001125055,,,,,,,,,,
225,0.072822406,4.66E-04,1.16E-04,0.01616728,3.55E-04,-8.69E-05,0.004776617,3.10E-04,-7.16E-05,3.46E-04,-0.016139858,-1.28E-04,0.007510838,-0.015215063,-0.005604547,0.07282241,4.66E-04,1.16E-04,0.016167285,3.55E-04,-8.69E-05,,,,,,,,,,
230,0.024014444,1.67E-04,4.63E-05,0.005226841,1.24E-04,-3.84E-05,0.001431802,1.02E-04,-1.53E-05,1.21E-04,-0.005213799,-5.88E-05,0.002283329,-0.004919873,-0.00182548,0.024014446,1.67E-04,4.63E-05,0.005226842,1.24E-04,-3.84E-05,,,,,,,,,,
235,0.00783447,7.98E-05,2.97E-05,0.001656656,6.31E-05,-2.23E-05,4.93E-04,5.00E-05,4.44E-06,6.18E-05,-0.001649234,-3.50E-05,5.63E-04,-0.001558438,-5.95E-04,0.007834471,7.98E-05,2.97E-05,0.001656657,6.31E-05,-2.23E-05,,,,,,,,,,
240,0.002518079,4.99E-05,2.14E-05,5.00E-04,4.08E-05,-1.61E-05,1.89E-04,3.11E-05,9.95E-06,4.02E-05,-4.95E-04,-2.54E-05,1.04E-08,-4.69E-04,-1.96E-04,0.002518079,4.99E-05,2.14E-05,5.00E-04,4.08E-05,-1.61E-05,,,,,,,,,,
245,7.75E-04,3.63E-05,1.82E-05,1.23E-04,3.11E-05,-1.29E-05,9.06E-05,2.33E-05,1.05E-05,3.08E-05,-1.19E-04,-2.05E-05,-1.80E-04,-1.15E-04,-6.32E-05,7.75E-04,3.63E-05,1.82E-05,1.23E-04,3.11E-05,-1.29E-05,,,,,,,,,,
250,2.04E-04,2.93E-05,1.65E-05,2.38E-07,2.62E-05,-1.08E-05,5.88E-05,1.96E-05,9.68E-06,2.60E-05,3.17E-06,-1.73E-05,-2.36E-04,8.90E-07,-1.81E-05,2.04E-04,2.93E-05,1.65E-05,2.38E-07,2.62E-05,-1.08E-05,,,,,,,,,,
255,1.74E-05,2.51E-05,1.53E-05,-3.98E-05,2.32E-05,-9.35E-06,4.85E-05,1.76E-05,8.62E-06,2.31E-05,4.28E-05,-1.50E-05,-2.52E-04,3.82E-05,-1.66E-06,1.74E-05,2.51E-05,1.53E-05,-3.98E-05,2.32E-05,-9.35E-06,,,,,,,,,,
260,-4.36E-05,2.24E-05,1.43E-05,-5.25E-05,2.13E-05,-8.16E-06,4.48E-05,1.65E-05,7.60E-06,2.12E-05,5.51E-05,-1.31E-05,-2.55E-04,4.99E-05,5.08E-06,-4.36E-05,2.24E-05,1.43E-05,-5.25E-05,2.13E-05,-8.16E-06,,,,,,,,,,
265,-6.38E-05,2.02E-05,1.33E-05,-5.68E-05,1.96E-05,-7.15E-06,4.40E-05,1.54E-05,6.70E-06,1.95E-05,5.90E-05,-1.15E-05,-2.54E-04,5.36E-05,8.66E-06,-6.38E-05,2.02E-05,1.33E-05,-5.68E-05,1.96E-05,-7.15E-06,,,,,,,,,,
270,-7.04E-05,1.85E-05,1.24E-05,-5.81E-05,1.83E-05,-6.29E-06,4.38E-05,1.46E-05,5.91E-06,1.82E-05,6.01E-05,-1.01E-05,-2.52E-04,5.46E-05,1.10E-05,-7.04E-05,1.85E-05,1.24E-05,-5.81E-05,1.83E-05,-6.29E-06,,,,,,,,,,
275,-7.26E-05,1.70E-05,1.16E-05,-5.84E-05,1.71E-05,-5.55E-06,4.37E-05,1.39E-05,5.23E-06,1.71E-05,6.01E-05,-8.86E-06,-2.50E-04,5.47E-05,1.27E-05,-7.26E-05,1.70E-05,1.16E-05,-5.84E-05,1.71E-05,-5.55E-06,,,,,,,,,,
280,-7.33E-05,1.58E-05,1.09E-05,-5.84E-05,1.62E-05,-4.90E-06,4.37E-05,1.34E-05,4.63E-06,1.61E-05,5.99E-05,-7.80E-06,-2.48E-04,5.45E-05,1.41E-05,-7.33E-05,1.58E-05,1.09E-05,-5.84E-05,1.62E-05,-4.90E-06,,,,,,,,,,
285,-7.35E-05,1.48E-05,1.02E-05,-5.84E-05,1.53E-05,-4.33E-06,4.37E-05,1.29E-05,4.11E-06,1.53E-05,5.97E-05,-6.87E-06,-2.47E-04,5.43E-05,1.54E-05,-7.35E-05,1.48E-05,1.02E-05,-5.84E-05,1.53E-05,-4.33E-06,,,,,,,,,,
290,-7.36E-05,1.39E-05,9.67E-06,-5.83E-05,1.46E-05,-3.84E-06,4.38E-05,1.24E-05,3.65E-06,1.45E-05,5.94E-05,-6.06E-06,-2.45E-04,5.41E-05,1.64E-05,-7.36E-05,1.39E-05,9.67E-06,-5.83E-05,1.46E-05,-3.84E-06,,,,,,,,,,
295,-7.36E-05,1.30E-05,9.19E-06,-5.82E-05,1.40E-05,-3.40E-06,4.38E-05,1.20E-05,3.26E-06,1.39E-05,5.92E-05,-5.35E-06,-2.44E-04,5.39E-05,1.73E-05,-7.36E-05,1.30E-05,9.19E-06,-5.82E-05,1.40E-05,-3.40E-06,,,,,,,,,,
300,-7.36E-05,1.23E-05,8.76E-06,-5.81E-05,1.34E-05,-3.02E-06,4.38E-05,1.17E-05,2.91E-06,1.33E-05,5.90E-05,-4.73E-06,-2.43E-04,5.37E-05,1.81E-05,-7.36E-05,1.23E-05,8.76E-06,-5.81E-05,1.34E-05,-3.02E-06,,,,,,,,,,
305,0.745111943,-0.6792435,-0.464755605,0.645121702,-0.819115494,0.080207006,-1.052743116,-0.819906012,-0.062233996,-0.819116363,-0.645104292,0.080155365,9.183250946,-0.640380911,0.153270957,0.745111933,-0.679243496,-0.464755604,0.645121697,-0.819115491,0.080206999,,,,,,,,,,
310,-0.423593187,0.374481168,0.231152737,-0.311564562,0.436565423,-0.056235362,0.523088493,0.435167203,0.058925476,0.436577726,0.311545032,-0.056201211,10.43527947,-0.049840627,-0.31487963,-0.423593174,0.374481159,0.231152732,-0.311564556,0.436565414,-0.056235357,,,,,,,,,,
315,-0.08077481,0.075620595,0.057314018,-0.084284871,0.094582932,-0.00549494,0.134837178,0.095032724,0.002028814,0.094598512,0.084274288,-0.005501309,-0.227434826,-0.091530343,-0.009690534,-0.080774826,0.07562061,0.057314028,-0.084284885,0.09458295,-0.005494941,,,,,,,,,,
320,-0.002761845,0.002334465,0.003286258,-0.007390337,0.003852821,8.35E-04,0.01079884,0.004007982,-0.001210875,0.003860134,0.00737858,8.52E-04,-0.112115892,-0.010679599,0.002031142,-0.002761834,0.002334454,0.00328625,-0.007390327,0.003852808,8.35E-04,,,,,,,,,,
325,-4.75E-04,3.37E-04,7.92E-04,-0.002095083,7.52E-04,3.32E-04,0.002886148,8.03E-04,-4.18E-04,7.54E-04,0.002090817,3.38E-04,-0.03674642,-0.003194657,7.15E-04,-4.75E-04,3.37E-04,7.92E-04,-0.00209508,7.52E-04,3.32E-04,,,,,,,,,,
330,6.46E-05,-1.29E-04,1.05E-04,-5.36E-04,-3.67E-05,1.45E-04,6.09E-04,-2.18E-05,-1.44E-04,-3.60E-05,5.35E-04,1.47E-04,-0.012495762,-8.99E-04,2.68E-04,6.46E-05,-1.29E-04,1.05E-04,-5.36E-04,-3.67E-05,1.45E-04,,,,,,,,,,
335,2.32E-04,-2.76E-04,-1.16E-04,-3.17E-05,-2.88E-04,8.22E-05,-1.17E-04,-2.85E-04,-5.36E-05,-2.88E-04,3.12E-05,8.30E-05,-0.00459766,-1.51E-04,1.23E-04,2.32E-04,-2.76E-04,-1.16E-04,-3.17E-05,-2.88E-04,8.22E-05,,,,,,,,,,
340,2.90E-04,-3.27E-04,-1.91E-04,1.37E-04,-3.74E-04,6.20E-05,-3.56E-04,-3.75E-04,-2.42E-05,-3.74E-04,-1.37E-04,6.22E-05,-0.002014083,9.69E-05,7.73E-05,2.90E-04,-3.27E-04,-1.91E-04,1.37E-04,-3.74E-04,6.20E-05,,,,,,,,,,
345,3.10E-04,-3.46E-04,-2.17E-04,1.93E-04,-4.05E-04,5.55E-05,-4.36E-04,-4.07E-04,-1.48E-05,-4.05E-04,-1.93E-04,5.56E-05,-0.001167658,1.80E-04,6.28E-05,3.10E-04,-3.46E-04,-2.17E-04,1.93E-04,-4.05E-04,5.55E-05,,,,,,,,,,
350,3.17E-04,-3.53E-04,-2.26E-04,2.12E-04,-4.15E-04,5.34E-05,-4.63E-04,-4.18E-04,-1.17E-05,-4.15E-04,-2.12E-04,5.35E-05,-8.90E-04,2.07E-04,5.82E-05,3.17E-04,-3.53E-04,-2.26E-04,2.12E-04,-4.15E-04,5.34E-05,,,,,,,,,,
355,3.59E-04,-3.92E-04,-2.57E-04,2.60E-04,-4.65E-04,5.52E-05,-5.34E-04,-4.68E-04,-1.33E-05,-4.65E-04,-2.60E-04,5.51E-05,-7.64E-04,2.54E-04,7.42E-05,3.59E-04,-3.92E-04,-2.57E-04,2.60E-04,-4.65E-04,5.52E-05,,,,,,,,,,
360,3.81E-04,-4.13E-04,-2.73E-04,2.83E-04,-4.92E-04,5.66E-05,-5.70E-04,-4.94E-04,-1.44E-05,-4.92E-04,-2.83E-04,5.66E-05,-7.32E-04,2.76E-04,8.20E-05,3.81E-04,-4.13E-04,-2.73E-04,2.83E-04,-4.92E-04,5.66E-05,,,,,,,,,,
365,3.85E-04,-4.15E-04,-2.75E-04,2.87E-04,-4.95E-04,5.66E-05,-5.78E-04,-4.96E-04,-1.45E-05,-4.95E-04,-2.87E-04,5.66E-05,-7.26E-04,2.80E-04,8.39E-05,3.85E-04,-4.15E-04,-2.75E-04,2.87E-04,-4.95E-04,5.66E-05,,,,,,,,,,
370,3.89E-04,-4.20E-04,-2.78E-04,2.90E-04,-5.00E-04,5.73E-05,-5.82E-04,-5.02E-04,-1.48E-05,-5.00E-04,-2.90E-04,5.73E-05,-7.42E-04,2.83E-04,8.42E-05,3.89E-04,-4.20E-04,-2.78E-04,2.90E-04,-5.00E-04,5.73E-05,,,,,,,,,,
375,3.90E-04,-4.21E-04,-2.78E-04,2.91E-04,-5.02E-04,5.76E-05,-5.83E-04,-5.04E-04,-1.50E-05,-5.02E-04,-2.91E-04,5.76E-05,-7.57E-04,2.84E-04,8.39E-05,3.90E-04,-4.21E-04,-2.78E-04,2.91E-04,-5.02E-04,5.76E-05,,,,,,,,,,
380,3.90E-04,-4.22E-04,-2.78E-04,2.90E-04,-5.02E-04,5.78E-05,-5.83E-04,-5.04E-04,-1.51E-05,-5.02E-04,-2.90E-04,5.78E-05,-7.70E-04,2.84E-04,8.34E-05,3.90E-04,-4.22E-04,-2.78E-04,2.90E-04,-5.02E-04,5.78E-05,,,,,,,,,,
385,4.74E-04,-4.97E-04,-3.29E-04,3.61E-04,-5.92E-04,6.70E-05,-7.01E-04,-5.95E-04,-2.09E-05,-5.92E-04,-3.61E-04,6.69E-05,-0.001041577,3.51E-04,1.08E-04,4.74E-04,-4.97E-04,-3.29E-04,3.61E-04,-5.92E-04,6.70E-05,,,,,,,,,,
390,5.10E-04,-5.29E-04,-3.52E-04,3.91E-04,-6.32E-04,7.10E-05,-7.52E-04,-6.35E-04,-2.35E-05,-6.32E-04,-3.91E-04,7.09E-05,-0.001157255,3.79E-04,1.18E-04,5.10E-04,-5.29E-04,-3.52E-04,3.91E-04,-6.32E-04,7.10E-05,,,,,,,,,,
395,5.22E-04,-5.41E-04,-3.59E-04,4.01E-04,-6.45E-04,7.24E-05,-7.69E-04,-6.49E-04,-2.44E-05,-6.45E-04,-4.01E-04,7.24E-05,-0.001196738,3.89E-04,1.22E-04,5.22E-04,-5.41E-04,-3.59E-04,4.01E-04,-6.45E-04,7.24E-05,,,,,,,,,,
400,5.26E-04,-5.45E-04,-3.62E-04,4.05E-04,-6.50E-04,7.29E-05,-7.74E-04,-6.53E-04,-2.48E-05,-6.50E-04,-4.05E-04,7.29E-05,-0.001210002,3.92E-04,1.23E-04,5.26E-04,-5.45E-04,-3.62E-04,4.05E-04,-6.50E-04,7.29E-05,,,,,,,,,,
